指标:

Test accuracy for ΔTSV-1（温度）:
Bagging-nest200-r5893382:  {'MSE': '0.0490', 'RMSE': '0.2213', 'MAE': '0.1431', 'R2': '0.9256', 'train_r2': '0.9836'}
Bagging-nest200-r4630832:  {'MSE': '0.0444', 'RMSE': '0.2107', 'MAE': '0.1432', 'R2': '0.9325', 'train_r2': '0.9834'}
Bagging-nest200-r1272886:  {'MSE': '0.0501', 'RMSE': '0.2238', 'MAE': '0.1452', 'R2': '0.9239', 'train_r2': '0.9839'}
Bagging-nest200-r2091564:  {'MSE': '0.0476', 'RMSE': '0.2182', 'MAE': '0.1426', 'R2': '0.9276', 'train_r2': '0.9837'}
Bagging-nest200-r3197735:  {'MSE': '0.0504', 'RMSE': '0.2244', 'MAE': '0.1471', 'R2': '0.9235', 'train_r2': '0.9835'}
Bagging-nest200-r6183592:  {'MSE': '0.0512', 'RMSE': '0.2262', 'MAE': '0.1483', 'R2': '0.9222', 'train_r2': '0.9842'}
Bagging-nest200-r7799235:  {'MSE': '0.0496', 'RMSE': '0.2227', 'MAE': '0.1456', 'R2': '0.9246', 'train_r2': '0.9835'}
Bagging-nest200-r1289414:  {'MSE': '0.0489', 'RMSE': '0.2212', 'MAE': '0.1468', 'R2': '0.9256', 'train_r2': '0.9830'}
Bagging-nest200-r7069265:  {'MSE': '0.0512', 'RMSE': '0.2264', 'MAE': '0.1489', 'R2': '0.9221', 'train_r2': '0.9834'}
Bagging-nest200-r1906396:  {'MSE': '0.0585', 'RMSE': '0.2418', 'MAE': '0.1603', 'R2': '0.9111', 'train_r2': '0.9832'}
Bagging-nest200-r1746775:  {'MSE': '0.0506', 'RMSE': '0.2250', 'MAE': '0.1506', 'R2': '0.9230', 'train_r2': '0.9829'}
Bagging-nest200-r7459676:  {'MSE': '0.0554', 'RMSE': '0.2354', 'MAE': '0.1527', 'R2': '0.9158', 'train_r2': '0.9833'}
Bagging-nest200-r5363984:  {'MSE': '0.0537', 'RMSE': '0.2318', 'MAE': '0.1543', 'R2': '0.9183', 'train_r2': '0.9836'}
Bagging-nest200-r3124443:  {'MSE': '0.0473', 'RMSE': '0.2174', 'MAE': '0.1455', 'R2': '0.9282', 'train_r2': '0.9836'}
Bagging-nest300-r2182787:  {'MSE': '0.0533', 'RMSE': '0.2308', 'MAE': '0.1490', 'R2': '0.9190', 'train_r2': '0.9841'}
Bagging-nest300-r4427159:  {'MSE': '0.0516', 'RMSE': '0.2273', 'MAE': '0.1534', 'R2': '0.9215', 'train_r2': '0.9833'}
Bagging-nest300-r5301839:  {'MSE': '0.0506', 'RMSE': '0.2248', 'MAE': '0.1489', 'R2': '0.9232', 'train_r2': '0.9834'}
Bagging-nest300-r6502799:  {'MSE': '0.0489', 'RMSE': '0.2210', 'MAE': '0.1462', 'R2': '0.9257', 'train_r2': '0.9838'}
Bagging-nest300-r3669229:  {'MSE': '0.0478', 'RMSE': '0.2186', 'MAE': '0.1421', 'R2': '0.9274', 'train_r2': '0.9838'}
Bagging-nest300-r7160480:  {'MSE': '0.0514', 'RMSE': '0.2267', 'MAE': '0.1491', 'R2': '0.9219', 'train_r2': '0.9839'}
Bagging-nest300-r707202:  {'MSE': '0.0520', 'RMSE': '0.2280', 'MAE': '0.1518', 'R2': '0.9210', 'train_r2': '0.9834'}
Bagging-nest300-r1400324:  {'MSE': '0.0525', 'RMSE': '0.2292', 'MAE': '0.1499', 'R2': '0.9201', 'train_r2': '0.9828'}
Bagging-nest300-r516029:  {'MSE': '0.0555', 'RMSE': '0.2356', 'MAE': '0.1528', 'R2': '0.9156', 'train_r2': '0.9841'}
Bagging-nest300-r772298:  {'MSE': '0.0508', 'RMSE': '0.2255', 'MAE': '0.1484', 'R2': '0.9227', 'train_r2': '0.9833'}
Bagging-nest300-r7811751:  {'MSE': '0.0519', 'RMSE': '0.2279', 'MAE': '0.1517', 'R2': '0.9211', 'train_r2': '0.9841'}
Bagging-nest300-r5335338:  {'MSE': '0.0502', 'RMSE': '0.2240', 'MAE': '0.1473', 'R2': '0.9237', 'train_r2': '0.9840'}
Bagging-nest300-r2234736:  {'MSE': '0.0523', 'RMSE': '0.2286', 'MAE': '0.1530', 'R2': '0.9206', 'train_r2': '0.9836'}
Bagging-nest300-r7732745:  {'MSE': '0.0485', 'RMSE': '0.2203', 'MAE': '0.1442', 'R2': '0.9262', 'train_r2': '0.9829'}
Bagging-nest300-r999517:  {'MSE': '0.0530', 'RMSE': '0.2301', 'MAE': '0.1507', 'R2': '0.9195', 'train_r2': '0.9828'}
Bagging-nest300-r9902705:  {'MSE': '0.0517', 'RMSE': '0.2274', 'MAE': '0.1486', 'R2': '0.9214', 'train_r2': '0.9835'}
Bagging-nest300-r3230154:  {'MSE': '0.0507', 'RMSE': '0.2251', 'MAE': '0.1490', 'R2': '0.9230', 'train_r2': '0.9835'}
Bagging-nest300-r5317322:  {'MSE': '0.0487', 'RMSE': '0.2208', 'MAE': '0.1492', 'R2': '0.9259', 'train_r2': '0.9835'}
Bagging-nest300-r8344760:  {'MSE': '0.0515', 'RMSE': '0.2269', 'MAE': '0.1500', 'R2': '0.9217', 'train_r2': '0.9833'}
Bagging-nest300-r2029764:  {'MSE': '0.0504', 'RMSE': '0.2246', 'MAE': '0.1472', 'R2': '0.9234', 'train_r2': '0.9848'}
Bagging-nest500-r8243794:  {'MSE': '0.0506', 'RMSE': '0.2250', 'MAE': '0.1485', 'R2': '0.9231', 'train_r2': '0.9842'}
Bagging-nest500-r9790020:  {'MSE': '0.0536', 'RMSE': '0.2316', 'MAE': '0.1502', 'R2': '0.9185', 'train_r2': '0.9838'}
Bagging-nest500-r4022672:  {'MSE': '0.0495', 'RMSE': '0.2225', 'MAE': '0.1462', 'R2': '0.9248', 'train_r2': '0.9838'}
Bagging-nest500-r9996130:  {'MSE': '0.0504', 'RMSE': '0.2245', 'MAE': '0.1503', 'R2': '0.9234', 'train_r2': '0.9833'}
Bagging-nest500-r9502764:  {'MSE': '0.0493', 'RMSE': '0.2220', 'MAE': '0.1477', 'R2': '0.9251', 'train_r2': '0.9840'}
Bagging-nest500-r4078837:  {'MSE': '0.0491', 'RMSE': '0.2215', 'MAE': '0.1458', 'R2': '0.9254', 'train_r2': '0.9834'}
Bagging-nest500-r5096208:  {'MSE': '0.0500', 'RMSE': '0.2235', 'MAE': '0.1489', 'R2': '0.9241', 'train_r2': '0.9830'}
Bagging-nest500-r5753622:  {'MSE': '0.0529', 'RMSE': '0.2300', 'MAE': '0.1526', 'R2': '0.9196', 'train_r2': '0.9840'}
